iter	RMSE
0	1.099951355
1	1.083765617
2	1.067794986
3	1.052724456
4	1.036991347
5	1.021822383
6	1.007098555
7	0.9927269574
8	0.9786235476
9	0.9649899214
10	0.9513050083
11	0.9374455644
12	0.9242286406
13	0.9111899079
14	0.8987257087
15	0.8864793041
16	0.8745390675
17	0.8624548939
18	0.8508720561
19	0.8393268628
20	0.828091233
21	0.8168103405
22	0.806199377
23	0.7957748194
24	0.7856429854
25	0.7755180347
26	0.7653939759
27	0.7556357517
28	0.7460185575
29	0.7369296787
30	0.7278646268
31	0.7189883868
32	0.7102562316
33	0.7013465883
34	0.6927781803
35	0.6847211985
36	0.6766059339
37	0.6687054846
38	0.6606513414
39	0.6530452256
40	0.6456726892
41	0.6386540656
42	0.6317370796
43	0.6245471966
44	0.6175644785
45	0.6106524331
46	0.6040896393
47	0.5976556568
48	0.5913052937
49	0.5853421561
50	0.5794985646
51	0.573841592
52	0.567902163
53	0.5620140062
54	0.5565699895
55	0.5511404551
56	0.5459375892
57	0.5408784105
58	0.536165957
59	0.5312109699
60	0.5264035076
61	0.521517834
62	0.5172682314
63	0.5132185767
64	0.5089340258
65	0.5048907443
66	0.5003505382
67	0.4961154552
68	0.4922619374
69	0.4882868842
70	0.4844160546
71	0.4808224427
72	0.4771846786
73	0.4737684592
74	0.4705683781
75	0.4671849926
76	0.4638488433
77	0.4604270944
78	0.4571534786
79	0.4538796831
80	0.4507070418
81	0.4475381913
82	0.4447464465
83	0.4417275031
84	0.4391415678
85	0.4363430386
86	0.4339073228
87	0.4313286234
88	0.4289387551
89	0.4265408472
90	0.4240200545
91	0.4216526039
92	0.4194813366
93	0.4172766723
94	0.4152636709
95	0.4130996702
96	0.4109041372
97	0.4089923101
98	0.4070778289
99	0.4052400821
100	0.4033538989
101	0.4013791165
102	0.3995355517
103	0.397939271
104	0.3962830733
105	0.3949451663
106	0.393309141
107	0.3916130793
108	0.3901977108
109	0.3887049091
110	0.387178108
111	0.3858086728
112	0.3843706249
113	0.3829557229
114	0.3817134568
115	0.3803857078
116	0.3791412143
117	0.3780109251
118	0.3767731007
119	0.3756147163
120	0.3744009673
121	0.3731862731
122	0.372009249
123	0.3709633033
124	0.3699846914
125	0.3688673379
126	0.3678715072
127	0.3668471075
128	0.3657301824
129	0.3648164464
130	0.363809914
131	0.3628647832
132	0.3620256803
133	0.3611561064
134	0.3602688108
135	0.3595478522
136	0.3586422808
137	0.3578490522
138	0.3570372209
139	0.3562766481
140	0.3555271324
141	0.3547063137
142	0.3538337761
143	0.3531031877
144	0.3523166324
145	0.3515322064
146	0.3508933455
147	0.3501265419
148	0.3494526514
149	0.348851805
150	0.348150839
151	0.3474522043
152	0.3467486018
153	0.3461167829
154	0.3454375212
155	0.3448432953
156	0.3443877285
157	0.3438065766
158	0.3432681381
159	0.3426273791
160	0.3420636648
161	0.3415251985
162	0.3409488008
163	0.34047136
164	0.3400831558
165	0.3395905193
166	0.3390614655
167	0.3384536141
168	0.3379192654
169	0.3374311826
170	0.3369249794
171	0.3364062374
172	0.3358935181
173	0.3354335116
174	0.3350111477
175	0.3346084302
176	0.3341439516
177	0.3336729264
178	0.3332122626
179	0.3327847169
180	0.3323156341
181	0.3318848073
182	0.3313701545
183	0.330951036
184	0.3305911765
185	0.3301417904
186	0.3297109076
187	0.3292590778
188	0.3288267123
189	0.3284430065
190	0.3280690945
191	0.327670865
192	0.3272978995
193	0.3269795501
194	0.326593525
195	0.3261943856
196	0.3257911001
197	0.32541612
198	0.3250072267
199	0.3245724
200	0.3241732698
201	0.3237733249
202	0.3235194239
203	0.323103004
204	0.3227642079
205	0.3224302397
206	0.3220855712
207	0.3217890775
208	0.321482681
209	0.3211718693
210	0.3208645241
211	0.3206160242
212	0.3203356746
213	0.3200643053
214	0.3197427965
215	0.3194625136
216	0.3191630321
217	0.3188809726
218	0.3186386965
219	0.318310168
220	0.3180076318
221	0.3177171172
222	0.3173889195
223	0.3172033796
224	0.3169221934
225	0.3166743992
226	0.3164416153
227	0.3161661944
228	0.3159510314
