iter	Passed	Remaining
0	10	20070
1	18	18964
2	28	18872
3	37	18812
4	46	18700
5	55	18389
6	63	18221
7	72	18036
8	81	17951
9	87	17339
10	95	17272
11	104	17244
12	112	17205
13	120	17135
14	129	17103
15	137	17005
16	145	16961
17	154	16974
18	162	16992
19	172	17036
20	185	17457
21	193	17413
22	201	17358
23	210	17352
24	218	17284
25	227	17242
26	235	17201
27	244	17184
28	252	17136
29	260	17126
30	268	17072
31	277	17062
32	285	17035
33	294	17020
34	302	16997
35	311	16981
36	319	16964
37	328	16956
38	338	17014
39	346	16973
40	354	16952
41	362	16911
42	371	16888
43	379	16876
44	387	16846
45	396	16821
46	404	16794
47	412	16764
48	420	16760
49	429	16745
50	437	16731
51	446	16739
52	455	16736
53	463	16719
54	472	16712
55	480	16689
56	489	16672
57	497	16643
58	505	16622
59	513	16613
60	522	16615
61	530	16596
62	539	16601
63	548	16599
64	557	16595
65	566	16594
66	574	16588
67	584	16597
68	593	16603
69	603	16631
70	611	16621
71	620	16621
72	629	16619
73	638	16626
74	648	16639
75	657	16640
76	666	16643
77	674	16631
78	684	16633
79	692	16624
80	701	16619
81	710	16608
82	719	16626
83	729	16632
84	737	16623
85	747	16628
86	755	16622
87	764	16615
88	774	16626
89	783	16617
90	791	16606
91	800	16592
92	808	16585
93	817	16572
94	826	16568
95	834	16552
96	843	16543
97	851	16525
98	860	16520
99	868	16508
100	877	16499
101	885	16483
102	894	16473
103	902	16453
104	911	16450
105	916	16370
106	925	16365
107	933	16349
108	941	16341
109	950	16331
110	959	16322
111	968	16318
112	978	16332
113	987	16337
114	996	16330
115	1005	16327
116	1013	16310
117	1022	16304
118	1030	16293
119	1040	16294
120	1048	16288
121	1058	16296
122	1070	16328
123	1078	16317
124	1087	16317
125	1096	16302
126	1104	16296
127	1114	16294
128	1124	16309
129	1133	16302
130	1142	16294
131	1150	16284
132	1160	16284
133	1169	16284
134	1178	16281
135	1188	16289
136	1198	16292
137	1207	16297
138	1218	16311
139	1229	16332
