feature,importance,model
월,4552.0,LGB
일,8190.0,LGB
요일,1931.0,LGB
시간,2902.0,LGB
주말여부,10.0,LGB
겨울여부,369.0,LGB
period_flag,24.0,LGB
sin_day,6917.0,LGB
sin_month,1121.0,LGB
cos_month,2902.0,LGB
작업유형_encoded,326.0,LGB
tou_relative_price,345.0,LGB
tou_price_code_encoded,655.0,LGB
시간_작업유형_encoded,2821.0,LGB
전력사용량(kWh),3071.0,LGB
지상무효전력량(kVarh),4794.0,LGB
진상무효전력량(kVarh),8804.0,LGB
진상역률(%),6893.0,LGB
유효역률(%),4901.0,LGB
역률_조정요율,2281.0,LGB
지상역률_보정,3744.0,LGB
지상역률_주간클립,669.0,LGB
주간여부,11.0,LGB
야간여부,1.0,LGB
실질위험,1.0,LGB
법적페널티,4.0,LGB
극저역률,8.0,LGB
역률부족폭_94,1152.0,LGB
역률부족폭_92,378.0,LGB
PF_recalc,1746.0,LGB
PF_diff,8009.0,LGB
무효유효비율,2318.0,LGB
부하역률곱,2401.0,LGB
역률_월평균,1566.0,LGB
총무효전력,6822.0,LGB
역률당전력,2097.0,LGB
진상역률_페널티,108.0,LGB
가을위험,89.0,LGB
동절기안정,2.0,LGB
역률_월평균차이,5465.0,LGB
kwh_roll24_cv,8933.0,LGB
kwh_lag1,7600.0,LGB
kwh_변화율_24h,5487.0,LGB
전력급등,6.0,LGB
kwh_lag24,6989.0,LGB
kwh_roll24_mean,8269.0,LGB
kwh_roll24_std,8471.0,LGB
kwh_시간대비_요일,7511.0,LGB
요금적용전력_kW,9678.0,LGB
피상전력_sim,2594.0,LGB
hour_workday,1229.0,LGB
hour_weekend,769.0,LGB
hour_day_0,650.0,LGB
hour_day_1,1181.0,LGB
hour_day_2,1016.0,LGB
hour_day_3,1786.0,LGB
hour_day_4,1478.0,LGB
hour_day_5,1158.0,LGB
hour_day_6,864.0,LGB
탄소배출량(tCO2),5550.0,LGB
작업유형_일별_시퀀스_ID,1113.0,LGB
요금적용전력_차이_비율,2268.0,LGB
월,0.006644389592111111,XGB
일,0.0018095339182764292,XGB
요일,0.004834240768104792,XGB
시간,0.024263331666588783,XGB
주말여부,0.0013352246023714542,XGB
겨울여부,0.020336344838142395,XGB
period_flag,0.0011008995352312922,XGB
sin_day,0.0015329518355429173,XGB
sin_month,0.00838062446564436,XGB
cos_month,0.004548059776425362,XGB
작업유형_encoded,0.02705433964729309,XGB
tou_relative_price,0.09923159331083298,XGB
tou_price_code_encoded,0.008137193508446217,XGB
시간_작업유형_encoded,0.008586504496634007,XGB
전력사용량(kWh),0.3683975338935852,XGB
지상무효전력량(kVarh),0.004856192506849766,XGB
진상무효전력량(kVarh),0.028225917369127274,XGB
